node_id,head,demand_x,longitude,latitude,elevation,demand_y,geometry,pressure
108422,0.0,0.0,-122.29254753407356,37.88463046868537,61.55,0.0,POINT (-122.2925475340736 37.88463046868537),-26.676782866799996
108458,0.0,0.0,-122.34747873769834,37.95039770408953,64.39,0.0,POINT (-122.3474787376983 37.95039770408953),-27.90768560184
108459,0.0,0.0,-122.3474898119874,37.95047195422698,64.7,0.0,POINT (-122.3474898119874 37.95047195422698),-28.042044703200002
108487,0.0,0.0,-122.30022909010285,37.868927279246456,17.51,0.0,POINT (-122.3002290901028 37.86892727924646),-7.589122144560001
108498,0.0,0.0,-122.25785852507029,37.79784289941675,21.95,0.0,POINT (-122.2578585250703 37.79784289941675),-9.5134912092
108499,0.0,0.0,-122.25793444648492,37.79791098625679,21.13,0.0,POINT (-122.2579344464849 37.79791098625679),-9.15808971528
108640,0.0,0.0,-122.286125100092,37.82125163293703,10.43,0.0,POINT (-122.286125100092 37.82125163293703),-4.52053363608
108646,0.0,0.0,-122.35276624134949,37.99972782339192,30.36,0.0,POINT (-122.3527662413495 37.99972782339192),-13.15852360416
108647,0.0,0.0,-122.35280014581714,37.999776671358745,31.13,0.0,POINT (-122.3528001458171 37.99977667135875),-13.49225427528
108657,0.0,0.0,-122.34277922921751,37.939317944307426,60.95,0.0,POINT (-122.3427792292175 37.93931794430743),-26.4167329932
108658,0.0,0.0,-122.34274725701935,37.93942694012332,61.53,0.0,POINT (-122.3427472570194 37.93942694012332),-26.668114537679998
108745,0.0,0.0,-122.29041389842494,37.78384806536413,12.55,0.0,POINT (-122.2904138984249 37.78384806536413),-5.439376522800001
108746,0.0,0.0,-122.34323257110756,37.94367000847895,68.26,0.0,POINT (-122.3432325711076 37.94367000847895),-29.58500728656
108747,0.0,0.0,-122.34323266823343,37.943712930162725,68.25,0.0,POINT (-122.3432326682334 37.94371293016273),-29.580673122
108838,0.0,0.0,-122.34320226300986,37.964832284496346,48.78,0.0,POINT (-122.3432022630099 37.96483228449635),-21.14205472368
108839,0.0,0.0,-122.34329945094863,37.964680740884816,48.28,0.0,POINT (-122.3432994509486 37.96468074088482),-20.92534649568
108868,0.0,0.0,-122.34172993283714,37.96519995503861,51.46,0.0,POINT (-122.3417299328371 37.96519995503861),-22.30361082576
108872,0.0,0.0,-122.34599856648238,37.9194498824122,10.02,0.0,POINT (-122.3459985664824 37.9194498824122),-4.342832889119999
108873,0.0,0.0,-122.34479899301023,37.91838811083646,11.76,0.0,POINT (-122.3447989930102 37.91838811083646),-5.09697752256
108963,0.0,0.0,-122.2900107261767,37.798869304622436,10.42,0.0,POINT (-122.2900107261767 37.79886930462244),-4.51619947152
108964,0.0,0.0,-122.28998249874084,37.79894850703189,10.07,0.0,POINT (-122.2899824987408 37.79894850703189),-4.36450371192
