OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
237,1696,Wiedemann No. 2 Reservoir,Unknown,737.0,F11A,Wiedemann,E,,,,,WSG,0.0,,SR,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1569,454,IS,2004-11-01,,Wiedemann No. 2 Reservoir,Wiedemann No. 2 Reservoir (DRES),,N,N,,P,Wiedemann #2,1.0,6131067.0,2096147.0,Wiedemann No 2 Reservoir,POINT (-121.9892585488658 37.74221627167414)
238,1692,Knife No. 1 Reservoir,"End of Ashbourne Dr, Approximately 1.2 miles S/E of Norris Canyon Rd",728.0,F13A,Knife,E,,,,,WSG,0.0,,SR,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1569,454,TRS,2005-11-03,,Knife No. 1 Reservoir,Knife No. 1 Reservoir (DRES),,N,N,,P,Knife #1,1.0,6130427.0,2095587.0,Knife No 1 Reservoir,POINT (-121.9914408380317 37.74065056987335)
203,210,Valory Reservoir (Former),N/o End Panorama Dr (N/o Hpy Val Rd),972.0,D7B,Las Aromas,E,,,,,WSG,0.0,,LAF,CC,,,OA55,605.0,DISTRIBUTION RESERVOIR,DRES,1527,516,TRS,2006-01-25,,Valory Reservoir (Former),Valory Reservoir (Former) (DRES),,N,N,N,P,Valory,1.0,6088600.0,2157434.0,Valory Tank,POINT (-122.1398180157636 37.90855733238225)
210,835,San Pablo Recreation Area Reservoir,North corner of upper parking lot at San Pablo Rec Area,881.0,,,,A2AA,Trilane,,,WSG,530.0,,ELS,CC,,,OA35,627.0,DISTRIBUTION RESERVOIR,DRES,1491,526,IS,1972-01-01,,San Pablo Recreation Area Reservoir,San Pablo Recreation Area Reservoir (DRES),,N,N,N,P,San Pablo Recreation Area,1.0,6054731.0,2167552.0,San Pablo Reservoir Recreation Area,POINT (-122.2578525179617 37.9346524327772)
169,198,Summit South Reservoir,102 Hiller Dr,1708.0,A5A,Summit,W,,,,,WSG,0.0,,OAK,AL,,,SA03,253.0,DISTRIBUTION RESERVOIR,DRES,1500,496,IS,1995-04-05,,Summit South Reservoir,Summit South Reservoir (DRES),,N,N,N,P,Summit South,2.0,6062317.0,2137809.0,Summit South Reservoir,POINT (-122.2296485615165 37.85337242901196)
257,132,Los Altos Reservoir,600' N/o end Los Altos Dr,935.0,D5A,Bryant,E,,,,,WSG,0.0,,OR,CC,,,OA17,569.0,DISTRIBUTION RESERVOIR,DRES,1509,514,IS,2005-12-07,,Los Altos Reservoir,Los Altos Reservoir (DRES),,N,N,N,P,Los Altos,1.0,6072047.0,2155574.0,Los Altos Reservoir,POINT (-122.1970679036744 37.9026404686358)
262,67,Bryant Reservoir,373 Glorietta Blvd,919.0,D5A,Bryant,E,,,,,WSG,0.0,,OR,CC,,,OA03,561.0,DISTRIBUTION RESERVOIR,DRES,1521,506,IS,2008-03-26,,Bryant Reservoir,Bryant Reservoir (DRES),,N,N,N,P,Bryant,1.0,6082727.0,2147417.0,Bryant Reservoir,POINT (-122.159556582476 37.88076828998269)
282,64,Blackhawk No. 1 Reservoir,S/o End Wild Oak Ln,1914.0,F8A,Blackhawk,E,,,,,WSG,0.0,,BHK,CC,,,WA45,880.0,DISTRIBUTION RESERVOIR,DRES,1593,480,IS,1996-08-23,,Blackhawk No. 1 Reservoir,Blackhawk No. 1 Reservoir (DRES),,N,N,N,P,Blackhawk No. 1,1.0,6155779.0,2121872.0,Blackhawk No 1 Reservoir,POINT (-121.9051380426798 37.81390559994237)
285,140,Montair Reservoir,304 Montair Dr,1721.0,F7B,Montair,E,,,,,WSG,0.0,,DAN,CC,,,WA25,853.0,DISTRIBUTION RESERVOIR,DRES,1560,482,IS,1963-01-01,,Montair Reservoir,Montair Reservoir (DRES),,N,N,N,P,Montair,1.0,6122330.0,2123188.0,Montair Reservoir,POINT (-122.0209901121745 37.81608435083172)
292,166,Redwood Reservoir,4392 Terabella Way,939.0,B3A,Piedmont,W,,,,,WSG,0.0,,OAK,AL,,,UA61,367.0,DISTRIBUTION RESERVOIR,DRES,1515,476,IS,1998-09-08,,Redwood Reservoir,Redwood Reservoir (DRES),,N,N,N,P,Redwood,2.0,6076890.0,2116837.0,Redwood Reservoir,POINT (-122.1778797148453 37.79651449413878)
325,1909,Berryman North Reservoir,7600 Potrero Ave,2033.0,A2A,Berryman,W,,,,,WSG,0.0,,EC,CC,,,SA32,186.0,DISTRIBUTION RESERVOIR,DRES,0,0,IS,2005-04-14,,Berryman North Reservoir,Berryman North Reservoir (DRES),,N,N,,P,Berryman-North,2.0,0.0,0.0,Berryman-North Reservoir,POINT (165.9984561648176 -90)
343,128,Larkey Reservoir,2201 Larkey Ln Walnut Creek C,1779.0,E3A,Colorados,E,,,,,WSG,33.0,,WC,CC,,W,WP01,821.0,DISTRIBUTION RESERVOIR,DRES,1542,516,IS,2002-07-08,,Larkey Reservoir,Larkey Reservoir (DRES),,N,N,N,P,Larkey,1.0,6104283.0,2158027.0,Larkey Reservoir,POINT (-122.0855000768914 37.91092703936629)
350,204,Tice Reservoir,End of Rockview Dr,568.0,E3A,Colorados,E,,,,,WSG,0.0,,WC,CC,,,OA42,677.0,DISTRIBUTION RESERVOIR,DRES,1548,502,IS,1999-05-19,,Tice Reservoir,Tice Reservoir (DRES),,N,N,N,P,Tice,1.0,6110164.0,2142803.0,Tice Reservoir,POINT (-122.0642360023641 37.86939535902277)
352,81,Colorados Reservoir,1/4 mi E/o Reliez Sta Rd-800 feet N/o Glenside Dr - On Diablo Oaks Way,920.0,E3A,Colorados,E,,,,,WSG,0.0,,WC,CC,,,WA63,818.0,DISTRIBUTION RESERVOIR,DRES,1539,506,IS,2001-05-08,,Colorados Reservoir,Colorados Reservoir (DRES),,N,N,N,P,Colorados,1.0,6101957.0,2147547.0,Colorados Reservoir,POINT (-122.0929436321852 37.88204202935545)
357,119,Hill Mutual PT Reservoir,225 Sydney Dr,1454.0,D7KA,Hill Mutual,E,,,,,WSG,0.0,,WC,CC,,S,,0.0,DISTRIBUTION RESERVOIR,DRES,1551,500,IS,1979-01-01,,Hill Mutual PT Reservoir,Hill Mutual PT Reservoir (DRES),,N,N,N,P,Hill Mutual PT,1.0,6113653.0,2141914.0,Hill Mutual PP and Pressure Tank,POINT (-122.0520993892405 37.86711362449297)
359,178,Scenic Reservoir,R/W off Canyon Oak Ln,1906.0,F7E,Scenic,E,,,,,WSG,0.0,,BHK,CC,,,WA66,869.0,DISTRIBUTION RESERVOIR,DRES,1584,490,IS,1997-08-27,,Scenic Reservoir,Scenic Reservoir (DRES),,N,N,N,P,Scenic,1.0,6146017.0,2130697.0,Scenic Reservoir,POINT (-121.9393976144916 37.83773177445038)
363,72,Castenada No. 2 Reservoir,"N/s Crow Canyon Rd, 1000' E/o Canyon Crest Dr.",1929.0,F5BF,San Ramon,E,,,,,WSG,71.0,,SR,CC,,,WA47,842.0,DISTRIBUTION RESERVOIR,DRES,1584,472,IS,1993-08-03,,Castenada No. 2 Reservoir,Castenada No. 2 Reservoir (DRES),Castenada No. 1,N,N,N,P,Castenada No. 2,1.0,6146605.0,2112522.0,Castenada No 2 Reservoir,POINT (-121.9363962025327 37.78784833147542)
364,217,Woods Reservoir,765 Woodhaven Rd,1706.0,A7D,Arlington,W,,,,,WSG,0.0,,BER,AL,,,SA48,276.0,DISTRIBUTION RESERVOIR,DRES,1491,514,IS,2005-11-11,,Woods Reservoir,Woods Reservoir (DRES),,N,N,N,P,Woods,2.0,6054636.0,2154458.0,Woods Reservoir,POINT (-122.257329967894 37.8986945372179)
273,102,Estates Reservoir,6317 Estates Dr,732.0,B5A,Dingee,W,,,,,WSG,0.0,,OAK,AL,,,UA43,384.0,DISTRIBUTION RESERVOIR,DRES,1503,486,IS,2001-01-05,,Estates Reservoir,Estates Reservoir (DRES),,N,N,N,P,Estates,2.0,6066100.0,2128284.0,Estates Reservoir,POINT (-122.2159433790616 37.82740951145691)
389,66,Brookwood Reservoir,End Gabel Ln at 1598 Reliez Vly Rd,958.0,E5B,Brookwood,E,,,,,WSG,0.0,,LAF,CC,,W,WA17,686.0,DISTRIBUTION RESERVOIR,DRES,1536,522,IS,2003-04-04,,Brookwood Reservoir,Brookwood Reservoir (DRES),,N,N,N,P,Brookwood,1.0,6097857.0,2163017.0,Brookwood Reservoir,POINT (-122.1080683663841 37.92432801454326)
400,206,University Reservoir,W end Bancroft Place,584.0,A7C,University,W,,,,,WSG,0.0,,OAK,AL,,,SA33,277.0,DISTRIBUTION RESERVOIR,DRES,1497,502,IS,1963-01-01,,University Reservoir,University Reservoir (DRES),,N,N,N,P,University,2.0,6058842.0,2143868.0,University Reservoir,POINT (-122.2420729581834 37.8698324253175)
424,2066,Pardee Recreation Area Tank,4900 Stoney Creek Road,0.0,,,,,,,,WSG,0.0,,ION,AM,95640,,,0.0,SUPPLY RESERVOIR,SRES,0,0,IS,1990-01-01,,Pardee Recreation Area Tank,Pardee Recreation Area Tank (SRES),,N,N,,P,PARA Tank,1.0,0.0,0.0,,POINT (165.9984561648176 -90)
425,2065,Camanche South Shore Recreation Area East Tank,11700 Wade Lane,0.0,,,,,,,,WSG,0.0,,WAL,CA,95225,,,0.0,SUPPLY RESERVOIR,SRES,0,0,IS,1990-01-01,,Camanche South Shore Recreation Area East Tank,Camanche South Shore Recreation Area East Tank (SRES),,N,N,,P,CASS East Tank,1.0,0.0,0.0,,POINT (165.9984561648176 -90)
451,1504,Water Truck 7070,"No permanent location, see Intranet for current location.",0.0,,,,,,,,WSG,0.0,,,,,,,0.0,PORTABLE RESERVOIR,PRES,0,0,IS,1990-01-01,,Water Truck 7070,Water Truck 7070 (PRES),,N,N,,,Water Truck 7070,0.0,0.0,0.0,,POINT (165.9984561648176 -90)
