OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
552,439,Bristol Regulator,Opposite 6803 Buckingham Blvd,41.0,A9B,Strathmoor,W,A11A,Gwin,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1500,498,IS,1990-01-01,,Bristol Regulator REG,Bristol Regulator (REG),,N,N,N,P,Bristol,2.0,6063624.0,2138984.0,Bristol Regulator,POINT (-122.2251973261715 37.85666495110102)
556,509,Stonewall Altitude Valve,227 Stonewall Rd,0.0,A4A,Stonewall,W,A5A,Summit,,,WSG,193.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1497,500,IS,1990-01-01,,Stonewall Altitude Valve ALTV,Stonewall Altitude Valve (ALTV),,N,N,N,P,Stonewall,2.0,6058767.0,2141207.0,,POINT (-122.24216126312 37.86252201998202)
558,1737,Orchard Regulator,n/s Orchard Rd e/of Glorieta Blvd,6.0,D5AB,Orchard Regulator,E,D5AB,Orchard Regulator,,,WSG,0.0,,OR,CC,,,OA36,111.0,DISTRIBUTION FLOW CONTROL,DFC,1518,500,IS,1999-12-15,,Orchard Regulator REG,Orchard Regulator (REG),,N,N,,P,Orchard,1.0,6080253.0,2141107.0,Orchard Regulator,POINT (-122.1677380723069 37.86332138326878)
559,483,Miranda Regulator,Chanticleer Ln 1500' N/o Sugar Creek Ct,1303.0,F5B,Diablo,E,F7D,Round Hill,,,WSG,0.0,,AMO,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1566,500,SB,1990-01-01,,Miranda Regulator REG (Temp) (SB),Miranda Regulator (REG) (Temp) (SB),,Y,N,N,P,Miranda,1.0,6129987.0,2141057.0,Miranda Regulator (temporary),POINT (-121.9954737303183 37.86549001301012)
511,495,Pine Valley Regulator,E/s Tareyton Ave north of Pine Valley Rd,1164.0,F4A,Amador,E,F5BF,San Ramon,,,WSG,0.0,,SR,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1581,452,TIS,2001-11-14,,Pine Valley Regulator REG (TIS),Pine Valley Regulator (REG) (TIS),,N,N,N,P,Pine Valley,1.0,6142425.0,2094215.0,Pine Valley Regulator,POINT (-121.949878794206 37.73740048233917)
516,487,98th Ave Rate Control Station,Bancroft Ave N/o 98th Ave,1189.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,UA40,102.0,DISTRIBUTION FLOW CONTROL,DFC,1518,458,IS,2006-09-30,,98th Ave Rate Control Station RCS,98th Ave Rate Control Station (RCS),,N,N,N,P,98th Avenue,2.0,6081189.0,2099334.0,98th Ave RC,POINT (-122.1619282609547 37.74866367205914)
485,496,Potrero Regulator,N/s Opposite 6626 Potrero Ave,44.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,EC,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1476,522,SB,1990-01-01,,Potrero Regulator REG (SB),Potrero Regulator (REG) (SB),,N,N,N,P,Potrero,2.0,6039047.0,2163177.0,Potrero Regulator,POINT (-122.3119314592213 37.92181901835249)
578,1689,Grass Valley Regulator,"West Side at 13711 Skyline Blvd, 50 feet south of Barmied Place",27.0,B9CA,Grass Valley Regulator,W,B11C,Palo Seco,,,WSG,0.0,,OAK,AL,,,UA73,381.0,DISTRIBUTION FLOW CONTROL,DFC,1524,470,SB,2001-02-05,,Grass Valley Regulator REG (SB),Grass Valley Regulator (REG) (SB),,N,N,,P,Grass Valley,2.0,6087137.0,2111737.0,Grass Valley Regulator,POINT (-122.1421109158278 37.78300914525713)
580,1687,Punchbowl Standby Regulator,"East side of Redwood Road approx. 90 ft. south of Kingwood, Oakland",14.0,,,,,,,,WSG,497.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1515,476,IS,2003-06-23,,Punchbowl Standby Regulator REG,Punchbowl Standby Regulator (REG),,N,N,,P,Punchbowl Standby,2.0,6077727.0,2117007.0,Punch Bowl No 2 Regulator,POINT (-122.1749938535116 37.79702242815615)
587,474,La Colina Regulator,E/s at 4108 La Colina corner San Pablo Dam Rd,1107.0,A2AA,Trilane,W,A2A,Berryman,,,WSG,0.0,,RCH,CC,,E,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1476,538,IS,1999-05-10,,La Colina Regulator REG,La Colina Regulator (REG),,N,N,N,P,La Colina,1.0,6040095.0,2179268.0,La Colina Regulator,POINT (-122.3093768023989 37.96605589676965)
